hcode,hydrocode,varname,propval,proptext,propname,propcode,entity_type
,4507588,aqbio_nt_total_icthy,5,,aqbio_nt_total_icthy,,dh_feature
,8476026,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8696643,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8657610,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8506254,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8525259,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8522299,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8658236,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8658170,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6887608,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8525313,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8720459,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,1086999,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,166737161,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8699221,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8610831,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,1087071,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8745673,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,3357812,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8724001,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8627625,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10473495,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,22340103,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8525157,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,6886614,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8506252,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8552647,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8503240,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8505204,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8650942,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8549439,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8696647,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10462331,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8631171,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,5892844,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8523025,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,11582420,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8651224,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8477780,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8651192,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8713069,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8723891,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10477427,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8724083,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6887638,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8572585,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8413075,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10053990,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8547091,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8550993,aqbio_nt_total_icthy,6,,aqbio_nt_total_icthy,,dh_feature
,12050310,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8503322,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8677207,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8632277,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10474989,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8651508,aqbio_nt_total_icthy,4,,aqbio_nt_total_icthy,,dh_feature
,9252082,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,437548,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8522101,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8629325,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,12050110,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8539827,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8696737,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8726133,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8423544,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8432070,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,4529161,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10066415,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8611681,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8551363,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8745369,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10066611,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8566449,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8632375,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,12058636,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10484631,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8652452,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8522471,aqbio_nt_total_icthy,4,,aqbio_nt_total_icthy,,dh_feature
,10484611,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8650818,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,9891812,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8503252,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8503168,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8524863,aqbio_nt_total_icthy,4,,aqbio_nt_total_icthy,,dh_feature
,8650854,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8423208,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8573213,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,8673859,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,12049286,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,9245900,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8423158,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,436080,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8657830,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8674347,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6885548,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,6907203,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6889876,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8422752,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8626939,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,12056282,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,4531367,aqbio_nt_total_icthy,5,,aqbio_nt_total_icthy,,dh_feature
,8726591,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8710877,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8440215,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,9248280,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8626955,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10053318,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,10066559,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,435792,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6906313,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,4536133,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8503180,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,19751737,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8506610,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8524501,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,5908051,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8573525,aqbio_nt_total_icthy,10,,aqbio_nt_total_icthy,,dh_feature
,14637549,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8693589,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8627235,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,9249900,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6906277,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8503808,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8525175,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,4505584,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,4508916,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8653300,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8658190,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,9891292,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,4508490,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8726515,aqbio_nt_total_icthy,4,,aqbio_nt_total_icthy,,dh_feature
,8503152,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,8465485,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8574711,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8524497,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8506112,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,22339921,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8680117,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,4529173,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8491034,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8549479,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8629323,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8650962,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10474855,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10460271,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,6889702,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8526193,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8552603,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10055980,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8527049,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6891072,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8658054,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8672185,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,10482317,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8477788,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8631633,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,8514432,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8522861,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8693455,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,5896170,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,10054604,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8630939,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,8630877,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8441345,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8711967,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,9250882,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8505902,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8525457,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8523363,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8745487,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8458148,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,9248864,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8493802,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,9897234,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8626677,aqbio_nt_total_icthy,4,,aqbio_nt_total_icthy,,dh_feature
,4506652,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8523323,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8725355,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8693241,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8626805,aqbio_nt_total_icthy,5,,aqbio_nt_total_icthy,,dh_feature
,8628539,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,11584972,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8527113,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8625165,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8507116,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8526017,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,5892822,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6885114,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8524817,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8649042,aqbio_nt_total_icthy,5,,aqbio_nt_total_icthy,,dh_feature
,10477177,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8672899,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8649420,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8695431,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,19751965,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8674281,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8503318,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8673811,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8444802,aqbio_nt_total_icthy,17,,aqbio_nt_total_icthy,,dh_feature
,8627027,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,22339839,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8626093,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8712003,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,9247988,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8628171,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,19761850,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,8628361,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8672569,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8413013,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8526943,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,19753485,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8522203,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8568227,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,8674287,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,9248460,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8506100,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,5892422,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,11583446,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8548729,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,4506924,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,6908391,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6888468,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8648520,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8674169,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8677873,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,4535997,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6883870,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,8626715,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8522131,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8628649,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,10066335,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6889282,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8696159,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8544533,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,4508388,aqbio_nt_total_icthy,4,,aqbio_nt_total_icthy,,dh_feature
,4533725,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8544433,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8672097,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8678911,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,6905969,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6907927,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8503218,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,8673559,aqbio_nt_total_icthy,6,,aqbio_nt_total_icthy,,dh_feature
,8740977,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,19761016,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,8503188,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8422232,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8679083,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8521285,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8724617,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8477908,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,19754235,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8506072,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8631479,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8648550,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8712627,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,19761018,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8490460,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8695507,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8526873,aqbio_nt_total_icthy,4,,aqbio_nt_total_icthy,,dh_feature
,8628683,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8723531,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8526571,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8657722,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8413091,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,22338611,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,9891662,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,6908521,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,12048574,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8626839,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8726051,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,10054610,aqbio_nt_total_icthy,3,,aqbio_nt_total_icthy,,dh_feature
,14363980,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8420688,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8526949,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,5890728,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8694959,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8522143,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8506148,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8672853,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8712623,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8649326,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8657436,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8711791,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8546337,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8711815,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,10478419,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,8631311,aqbio_nt_total_icthy,2,,aqbio_nt_total_icthy,,dh_feature
,8679453,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,22339431,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,12048458,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
,4536093,aqbio_nt_total_icthy,1,,aqbio_nt_total_icthy,,dh_feature
